2026-01-28 12:24:29,918 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-01-28 12:24:29,937 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-01-28 12:24:29,939 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-01-28 12:24:29,939 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-01-28 12:24:29,941 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-01-28 12:24:29,941 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-01-28 12:24:29,942 INFO  SwAddin.cs: 201 - Setting up command manager
2026-01-28 12:24:29,943 INFO  SwAddin.cs: 204 - Adding command manager
2026-01-28 12:24:29,945 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-01-28 12:24:29,945 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-01-28 12:24:29,946 INFO  SwAddin.cs: 210 - Adding event handlers
2026-01-28 12:24:29,950 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-01-28 13:43:14,536 INFO  SwAddin.cs: 294 - Assembly export called for file Final Assembly
2026-01-28 13:43:25,091 INFO  SwAddin.cs: 313 - Saving assembly
2026-01-28 13:43:25,445 INFO  SwAddin.cs: 316 - Opening property manager
2026-01-28 13:43:25,453 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Final Assembly
2026-01-28 13:43:25,457 INFO  ExportHelperExtension.cs: 1136 - Found 126 in Final Assembly
2026-01-28 13:43:25,458 INFO  ExportHelperExtension.cs: 1145 - Found 13 features of type [CoordSys] in Final Assembly
2026-01-28 13:43:25,458 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-01-28 13:43:25,459 INFO  ExportHelperExtension.cs: 1160 - 12 components to check
2026-01-28 13:43:25,460 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Baseplate Assem-1
